2024-06-17 07:23:38 INFO  Utils:112 - [TestNG] Running:
  F:\Eclipseworkspace-dinu\Opencartv1\master.xml

2024-06-17 07:23:42 INFO  TC_001_AccountRegistrationTest:26 - ****Starting TC_001_AccountRegistrationTest****
2024-06-17 07:23:43 INFO  TC_001_AccountRegistrationTest:32 - ****Clicked on MyAccount Link****
2024-06-17 07:23:43 INFO  TC_001_AccountRegistrationTest:35 - ****Clicked on MyRegister link****
2024-06-17 07:23:43 INFO  TC_001_AccountRegistrationTest:41 - ****Provinding customer details****
2024-06-17 07:23:46 INFO  TC_001_AccountRegistrationTest:55 - ****Validating expected message****
2024-06-17 07:23:46 INFO  TC_001_AccountRegistrationTest:74 - ****Finished TC_001_AccountRegistrationTest****
2024-06-17 07:23:48 INFO  TC_002_LoginTest:16 - ****Starting TC_002_LoginTest
2024-06-17 07:23:49 INFO  TC_002_LoginTest:40 - ****Finished TC_002_LoginTest ****
2024-06-17 07:40:50 INFO  TC_001_AccountRegistrationTest:26 - ****Starting TC_001_AccountRegistrationTest****
2024-06-17 07:40:50 INFO  TC_001_AccountRegistrationTest:32 - ****Clicked on MyAccount Link****
2024-06-17 07:40:50 INFO  TC_001_AccountRegistrationTest:35 - ****Clicked on MyRegister link****
2024-06-17 07:40:50 INFO  TC_001_AccountRegistrationTest:41 - ****Provinding customer details****
2024-06-17 07:40:53 INFO  TC_001_AccountRegistrationTest:55 - ****Validating expected message****
2024-06-17 07:40:53 INFO  TC_001_AccountRegistrationTest:74 - ****Finished TC_001_AccountRegistrationTest****
2024-06-17 07:40:55 INFO  TC_002_LoginTest:16 - ****Starting TC_002_LoginTest
2024-06-17 07:40:56 INFO  TC_002_LoginTest:40 - ****Finished TC_002_LoginTest ****
2024-06-17 07:41:25 INFO  TC_001_AccountRegistrationTest:26 - ****Starting TC_001_AccountRegistrationTest****
2024-06-17 07:41:25 INFO  TC_001_AccountRegistrationTest:32 - ****Clicked on MyAccount Link****
2024-06-17 07:41:25 INFO  TC_001_AccountRegistrationTest:35 - ****Clicked on MyRegister link****
2024-06-17 07:41:25 INFO  TC_001_AccountRegistrationTest:41 - ****Provinding customer details****
2024-06-17 07:41:28 INFO  TC_001_AccountRegistrationTest:55 - ****Validating expected message****
2024-06-17 07:41:28 INFO  TC_001_AccountRegistrationTest:74 - ****Finished TC_001_AccountRegistrationTest****
2024-06-17 07:41:30 INFO  TC_002_LoginTest:16 - ****Starting TC_002_LoginTest
2024-06-17 07:41:31 INFO  TC_002_LoginTest:40 - ****Finished TC_002_LoginTest ****
2024-06-17 07:56:30 INFO  TC_001_AccountRegistrationTest:26 - ****Starting TC_001_AccountRegistrationTest****
2024-06-17 07:56:30 INFO  TC_001_AccountRegistrationTest:32 - ****Clicked on MyAccount Link****
2024-06-17 07:56:30 INFO  TC_001_AccountRegistrationTest:35 - ****Clicked on MyRegister link****
2024-06-17 07:56:30 INFO  TC_001_AccountRegistrationTest:41 - ****Provinding customer details****
2024-06-17 07:56:33 INFO  TC_001_AccountRegistrationTest:55 - ****Validating expected message****
2024-06-17 07:56:33 INFO  TC_001_AccountRegistrationTest:74 - ****Finished TC_001_AccountRegistrationTest****
2024-06-17 07:56:35 INFO  TC_002_LoginTest:16 - ****Starting TC_002_LoginTest
2024-06-17 07:56:36 INFO  TC_002_LoginTest:40 - ****Finished TC_002_LoginTest ****
2024-06-17 08:09:46 INFO  TC_001_AccountRegistrationTest:26 - ****Starting TC_001_AccountRegistrationTest****
2024-06-17 08:09:46 INFO  TC_001_AccountRegistrationTest:32 - ****Clicked on MyAccount Link****
2024-06-17 08:09:47 INFO  TC_001_AccountRegistrationTest:35 - ****Clicked on MyRegister link****
2024-06-17 08:09:47 INFO  TC_001_AccountRegistrationTest:41 - ****Provinding customer details****
2024-06-17 08:09:50 INFO  TC_001_AccountRegistrationTest:55 - ****Validating expected message****
2024-06-17 08:09:50 INFO  TC_001_AccountRegistrationTest:74 - ****Finished TC_001_AccountRegistrationTest****
2024-06-17 08:09:52 INFO  TC_002_LoginTest:16 - ****Starting TC_002_LoginTest
2024-06-17 08:09:54 INFO  TC_002_LoginTest:40 - ****Finished TC_002_LoginTest ****
